name,team,position,predicted_assists
Declan Rice,Arsenal,MID,0.55
Deivid Washington de Souza Eugênio,Chelsea,FWD,0.0
Dejan Kulusevski,Spurs,MID,0.35
Deniz Undav,Brighton,FWD,0.0
Destiny Udogie,Spurs,DEF,0.0
Diego Carlos Santos Silva,Aston Villa,DEF,0.0
Diego Gómez,Brighton,MID,0.0
Diogo Dalot Teixeira,Man Utd,DEF,0.11
Diogo Teixeira da Silva,Liverpool,MID,0.08
Divin Mubama,Man City,FWD,0.0
Djed Spence,Spurs,DEF,0.0
Dominic Calvert-Lewin,Everton,FWD,0.04
Dominic Sadi,Bournemouth,MID,0.0
Dominic Solanke-Mitchell,Spurs,FWD,0.08
Dominik Szoboszlai,Liverpool,MID,0.48
Dwight McNeil,Everton,MID,0.46
Eberechi Eze,Crystal Palace,MID,0.26
Eddie Nketiah,Arsenal,FWD,0.0
Eddie Nketiah,Crystal Palace,FWD,0.0
Ederson Santana de Moraes,Man City,GK,0.06
Edson Álvarez Velázquez,West Ham,MID,0.0
Elkan Baggott,Ipswich,DEF,0.0
Elliot Anderson,Nott'm Forest,MID,0.29
Emerson Leite de Souza Junior,Spurs,DEF,0.0
Emerson Palmieri dos Santos,West Ham,DEF,0.04
Emil Krafth,Newcastle,DEF,0.0
Emile Smith Rowe,Fulham,MID,0.28
Emiliano Buendía Stati,Aston Villa,MID,0.0
Emiliano Martínez Romero,Aston Villa,GK,0.0
Emmanuel Agbadou,Wolves,DEF,0.0
Emmanuel Dennis,Nott'm Forest,FWD,0.0
Endo Wataru,Liverpool,MID,0.0
Enes Ünal,Bournemouth,FWD,0.0
Enso González,Wolves,MID,0.0
Enzo Barrenechea,Aston Villa,MID,0.0
Enzo Fernández,Chelsea,MID,0.35
Eric da Silva Moreira,Nott'm Forest,MID,0.0
Erling Haaland,Man City,FWD,0.1
Ethan Brierley,Brentford,MID,0.0
Ethan Nwaneri,Arsenal,MID,0.0
Ethan Pinnock,Brentford,DEF,0.0
Ethan Wheatley,Man Utd,FWD,0.0
Evan Ferguson,Brighton,FWD,0.02
Ezra Mayers,West Ham,DEF,0.0
Ezri Konsa Ngoyo,Aston Villa,DEF,0.0
Fabian Schär,Newcastle,DEF,0.0
Facundo Buonanotte,Leicester,MID,0.42
Facundo Pellistri Rebollo,Man Utd,MID,0.0
Federico Chiesa,Liverpool,MID,0.0
Felipe Rodrigues da Silva,Nott'm Forest,DEF,0.0
Ferdi Kadioglu,Brighton,DEF,0.0
Filip Jørgensen,Chelsea,GK,0.0
Filip Marschall,Aston Villa,GK,0.0
Flynn Downes,Southampton,MID,0.0
Francisco Evanilson de Lima Barbosa,Bournemouth,FWD,0.38
Francisco Jorge Tomás Oliveira,Wolves,MID,0.0
Franco Umeh-Chibueze,Crystal Palace,MID,0.0
Frank Onyeka,Brentford,MID,0.0
Fraser Forster,Spurs,GK,0.0
Freddie Ladapo,Ipswich,FWD,0.0
Fábio Ferreira Vieira,Arsenal,MID,0.0
Fábio Freitas Gouveia Carvalho,Brentford,MID,0.0
Fábio Silva,Wolves,FWD,0.0
Gabriel Fernando de Jesus,Arsenal,FWD,0.0
Gabriel Martinelli Silva,Arsenal,MID,0.3
Gabriel dos Santos Magalhães,Arsenal,DEF,0.08
Garang Kuol,Newcastle,MID,0.0
Gavin Bazunu,Southampton,GK,0.0
George Earthy,West Ham,MID,0.0
George Edmundson,Ipswich,DEF,0.0
George Hirst,Ipswich,FWD,0.06
Georginio Rutter,Brighton,MID,0.14
Giovani Lo Celso,Spurs,MID,0.0
Godwill Kukonki,Man Utd,DEF,0.0
Gonçalo Manuel Ganchinho Guedes,Wolves,MID,0.0
Guglielmo Vicario,Spurs,GK,0.0
Guido Rodríguez,West Ham,MID,0.0
Gustavo Nunes Fernandes Gomes,Brentford,MID,0.0
Hamed Traorè,Bournemouth,MID,0.0
Hamza Choudhury,Leicester,MID,0.0
Hannibal Mejbri,Man Utd,MID,0.0
Harrison Armstrong,Everton,MID,0.0
Harrison Reed,Fulham,MID,0.0
Harry Amass,Man Utd,DEF,0.0
Harry Clarke,Ipswich,DEF,0.0
Harry Maguire,Man Utd,DEF,0.0
Harry Souttar,Leicester,DEF,0.0
Harry Toffolo,Nott'm Forest,DEF,0.0
Harry Wilson,Fulham,MID,0.1
Harry Winks,Leicester,MID,0.0
Harvey Barnes,Newcastle,MID,0.18
Harvey Davies,Liverpool,GK,0.0
Harvey Elliott,Liverpool,MID,0.0
Henry Cartwright,Leicester,MID,0.0
Hugo Bueno López,Wolves,DEF,0.0
Hwang Hee-chan,Wolves,MID,0.0
Hwang Ui-jo,Nott'm Forest,FWD,0.0
Hákon Valdimarsson,Brentford,GK,0.0
Ian Maatsen,Aston Villa,DEF,0.0
Ibrahim Osman,Brighton,MID,0.0
Ibrahim Sangaré,Nott'm Forest,MID,0.0
Ibrahima Konaté,Liverpool,DEF,0.0
Idrissa Gueye,Everton,MID,0.0
Igor Julio dos Santos de Paulo,Brighton,DEF,0.0
Igor Thiago Nascimento Rodrigues,Brentford,FWD,0.0
Iliman Ndiaye,Everton,FWD,0.22
Ilkay Gündogan,Man City,MID,0.16
Illia Zabarnyi,Bournemouth,DEF,0.18
Imari Samuels,Brighton,DEF,0.0
Isaac Hayden,Newcastle,MID,0.0
Ismaïla Sarr,Crystal Palace,MID,0.62
Ismeal Kabia,Arsenal,MID,0.0
Issa Diop,Fulham,DEF,0.0
Issa Kaboré,Man City,DEF,0.0
Ivan Toney,Brentford,FWD,0.0
Jack Clarke,Ipswich,MID,0.0
Jack Fletcher,Man Utd,MID,0.0
Jack Grealish,Man City,MID,0.03
Jack Harrison,Everton,MID,0.0
Jack Hinshelwood,Brighton,MID,0.0
Jack Stephens,Southampton,DEF,0.0
Jack Taylor,Ipswich,MID,0.0
Jacob Greaves,Ipswich,DEF,0.0
Jacob Murphy,Newcastle,MID,0.61
Jacob Ramsey,Aston Villa,MID,0.0
Jacob Slater,Brighton,DEF,0.0
Jacob Wright,Man City,MID,0.0
Jaden Philogene,Aston Villa,MID,0.0
Jadon Sancho,Chelsea,MID,0.48
Jadon Sancho,Man Utd,MID,0.0
Jahmai Simpson-Pusey,Man City,DEF,0.0
Jaidon Anthony,Bournemouth,MID,0.0
Jake O'Brien,Everton,DEF,0.0
Jakub Kiwior,Arsenal,DEF,0.0
Jakub Moder,Brighton,MID,0.0
Jakub Stolarczyk,Leicester,GK,0.0
Jamaal Lascelles,Newcastle,DEF,0.0
Jamal Lewis,Newcastle,DEF,0.0
Jamaldeen Jimoh,Aston Villa,MID,0.0
James Bree,Southampton,DEF,0.0
James Garner,Everton,MID,0.0
James Hill,Bournemouth,DEF,0.0
James Justin,Leicester,DEF,0.01
James Maddison,Spurs,MID,0.4
James McAtee,Man City,MID,0.0
James McConnell,Liverpool,MID,0.0
James Milner,Brighton,MID,0.0
James Tarkowski,Everton,DEF,0.02
James Ward-Prowse,Nott'm Forest,MID,0.0
James Ward-Prowse,West Ham,MID,0.0
Jamie Vardy,Leicester,FWD,0.2
Jan Bednarek,Southampton,DEF,0.0
Jan Paul van Hecke,Brighton,DEF,0.0
Jannik Vestergaard,Leicester,DEF,0.0
Jarell Quansah,Liverpool,DEF,0.0
Jarrad Branthwaite,Everton,DEF,0.0
Jarrod Bowen,West Ham,MID,0.6
Jason Steele,Brighton,GK,0.0
Jay Stansfield,Fulham,FWD,0.0
Jayce Fitzgerald,Man Utd,MID,0.0
Jayden Danns,Liverpool,FWD,0.0
Jayden Meghoma,Brentford,DEF,0.0
Jean-Clair Todibo,West Ham,DEF,0.0
Jean-Philippe Mateta,Crystal Palace,FWD,0.28
Jean-Ricner Bellegarde,Wolves,MID,0.0
Jefferson Lerma Solís,Crystal Palace,MID,0.0
Jeffrey Schlupp,Crystal Palace,MID,0.02
Jens Cajuste,Ipswich,MID,0.0
Jenson Metcalfe,Everton,MID,0.0
Jeremy Sarmiento Morante,Brighton,MID,0.0
Jesper Lindstrøm,Everton,MID,0.0
Jesurun Rak-Sakyi,Crystal Palace,MID,0.0
Jhon Durán,Aston Villa,FWD,0.16
Joachim Andersen,Crystal Palace,DEF,0.0
Joachim Andersen,Fulham,DEF,0.0
Joachim Kayi-Sanda,Southampton,DEF,0.0
Joe Aribo,Southampton,MID,0.03
Joe Gauci,Aston Villa,GK,0.0
Joe Gomez,Liverpool,DEF,0.0
Joe Hodge,Wolves,MID,0.0
Joe Lumley,Southampton,GK,0.0
Joe White,Newcastle,MID,0.0
Joe Willock,Newcastle,MID,0.0
Joe Worrall,Nott'm Forest,DEF,0.0
Joel Ward,Crystal Palace,DEF,0.0
Joelinton Cássio Apolinário de Lira,Newcastle,MID,0.29
John McGinn,Aston Villa,MID,0.0
John Ruddy,Newcastle,GK,0.0
John Stones,Man City,DEF,0.0
Jonathan Panzo,Nott'm Forest,DEF,0.0
Jonny Evans,Man Utd,DEF,0.0
Jordan Ayew,Crystal Palace,MID,0.0
Jordan Ayew,Leicester,MID,0.01
Jordan Pickford,Everton,GK,0.0
Jorge Cuenca Barreno,Fulham,DEF,0.0
Jorge Luiz Frello Filho,Arsenal,MID,0.0
Joseph O'Brien-Whitmarsh,Southampton,MID,0.0
Josh Acheampong,Chelsea,DEF,0.0
Josh Bowler,Nott'm Forest,MID,0.0
Josh Dasilva,Brentford,MID,0.0
Josh King,Fulham,MID,0.0
Josh Nichols,Arsenal,DEF,0.0
Josh Wilson-Esbrand,Man City,DEF,0.0
Joshua Zirkzee,Man Utd,FWD,0.02
José Malheiro de Sá,Wolves,GK,0.0
João Cavaco Cancelo,Man City,DEF,0.0
João Félix Sequeira,Chelsea,MID,0.04
João Neves Virgínia,Everton,GK,0.0
João Pedro Ferreira Silva,Nott'm Forest,MID,0.0
João Pedro Junqueira de Jesus,Brighton,FWD,0.44
João Victor Gomes da Silva,Wolves,MID,0.22
Joël Veltman,Brighton,DEF,0.0
Joško Gvardiol,Man City,DEF,0.52
Juan Larios López,Southampton,DEF,0.0
Julio Enciso,Brighton,MID,0.0
Julio Soler,Bournemouth,DEF,0.0
Julián Araujo Zúñiga,Bournemouth,DEF,0.0
Julián Álvarez,Man City,FWD,0.0
Jurriën Timber,Arsenal,DEF,0.04
Justin Devenny,Crystal Palace,MID,0.0
Justin Kluivert,Bournemouth,MID,0.24
Jérémy Doku,Man City,MID,0.38
Jørgen Strand Larsen,Wolves,FWD,0.09
Kacper Kozłowski,Brighton,MID,0.0
Kadan Young,Aston Villa,MID,0.0
Kaden Rodney,Crystal Palace,MID,0.0
Kaelan Casey,West Ham,DEF,0.0
Kai Havertz,Arsenal,FWD,0.36
Kaine Kesler-Hayden,Aston Villa,DEF,0.0
Kalvin Phillips,Ipswich,MID,0.0
Kamaldeen Sulemana,Southampton,MID,0.0
Karl Hein,Arsenal,GK,0.0
Kasey McAteer,Leicester,MID,0.0
Keane Lewis-Potter,Brentford,MID,0.34
Kenny Tete,Fulham,DEF,0.0
Kepa Arrizabalaga,Bournemouth,GK,0.0
Kepa Arrizabalaga,Chelsea,GK,0.0
Kevin De Bruyne,Man City,MID,0.49
Kevin Mbabu,Fulham,DEF,0.0
Kevin Schade,Brentford,MID,0.08
Ki-Jana Hoever,Wolves,DEF,0.0
Kieran Tierney,Arsenal,DEF,0.0
Kieran Trippier,Newcastle,DEF,0.0
Kiernan Dewsbury-Hall,Chelsea,MID,0.0
Killian Cahill,Brighton,GK,0.0
Kim Ji-soo,Brentford,DEF,0.0
Kobbie Mainoo,Man Utd,MID,0.0
Konstantinos Mavropanos,West Ham,DEF,0.0
Konstantinos Tsimikas,Liverpool,DEF,0.0
Kortney Hause,Aston Villa,DEF,0.0
Kosta Nedeljković,Aston Villa,DEF,0.0
Kristoffer Ajer,Brentford,DEF,0.0
Kurt Zouma,West Ham,DEF,0.0
Kyle Walker,Man City,DEF,0.0
Kyle Walker-Peters,Southampton,DEF,0.16
Lamare Bogarde,Aston Villa,DEF,0.0
Leander Dendoncker,Aston Villa,MID,0.0
Leandro Trossard,Arsenal,MID,0.28
Leif Davis,Ipswich,DEF,0.28
Leny Yoro,Man Utd,DEF,0.0
Leon Bailey,Aston Villa,MID,0.01
Leon Chiwome,Wolves,FWD,0.0
Lesley Ugochukwu,Chelsea,MID,0.0
Lesley Ugochukwu,Southampton,MID,0.0
Levi Colwill,Chelsea,DEF,0.12
Lewis Cook,Bournemouth,MID,0.13
Lewis Dobbin,Aston Villa,MID,0.0
Lewis Dunk,Brighton,DEF,0.0
Lewis Hall,Newcastle,DEF,0.32
Lewis Miley,Newcastle,MID,0.0
Lewis O'Brien,Nott'm Forest,MID,0.0
Lewis Orford,West Ham,MID,0.0
Liam Delap,Ipswich,FWD,0.34
Lino da Cruz Sousa,Aston Villa,DEF,0.0
Lisandro Martínez,Man Utd,DEF,0.0
Lloyd Kelly,Newcastle,DEF,0.0
Luca Williams-Barnett,Spurs,MID,0.0
Lucas Bergström,Chelsea,GK,0.0
Lucas Bergvall,Spurs,MID,0.0
Lucas Digne,Aston Villa,DEF,0.22
Lucas Tolentino Coelho de Lima,West Ham,MID,0.42
Luis Díaz,Liverpool,MID,0.24
Luis Guilherme Lira dos Santos,West Ham,MID,0.0
Luis Sinisterra,Bournemouth,MID,0.0
Luke Cundle,Wolves,MID,0.0
Luke Harris,Fulham,MID,0.0
Luke Shaw,Man Utd,DEF,0.0
Luke Thomas,Leicester,DEF,0.0
Luke Woolfenden,Ipswich,DEF,0.0
Mads Hermansen,Leicester,GK,0.0
Mads Roerslev Rasmussen,Brentford,DEF,0.0
Maeson King,Spurs,DEF,0.0
Mahmoud Dahoud,Brighton,MID,0.0
Malachi Hardy,Spurs,DEF,0.0
Malang Sarr,Chelsea,DEF,0.0
Malcolm Ebiowei,Crystal Palace,MID,0.0
Maldini Kacurri,Arsenal,DEF,0.0
Malo Gusto,Chelsea,DEF,0.01
Manor Solomon,Spurs,MID,0.0
Manuel Akanji,Man City,DEF,0.2
Manuel Ugarte,Man Utd,MID,0.0
Marc Cucurella Saseta,Chelsea,DEF,0.0
Marc Guiu Paz,Chelsea,FWD,0.0
Marc Guéhi,Crystal Palace,DEF,0.02
Marcos Senesi,Bournemouth,DEF,0.0
Marcus Bettinelli,Chelsea,GK,0.0
Marcus Myers-Harness,Ipswich,MID,0.0
Marcus Rashford,Man Utd,MID,0.34
Marcus Tavernier,Bournemouth,MID,0.39
Mario Lemina,Wolves,MID,0.07
Mark Flekken,Brentford,GK,0.03
Mark O’Mahony,Brighton,FWD,0.0
Mark Travers,Bournemouth,GK,0.0
Martial Godo,Fulham,MID,0.0
Martin Dúbravka,Newcastle,GK,0.0
Martin Sherif,Everton,FWD,0.0
Martin Ødegaard,Arsenal,MID,0.36
Mason Holgate,Everton,DEF,0.0
Mason Mount,Man Utd,MID,0.0
Massimo Luongo,Ipswich,MID,0.0
Matai Akinmboni,Bournemouth,DEF,0.0
Mateo Kovačić,Man City,MID,0.16
Mateus Gonçalo Espanha Fernandes,Southampton,MID,0.26
Mateusz Lis,Southampton,GK,0.0
Matheus França de Oliveira,Crystal Palace,MID,0.0
Matheus Luiz Nunes,Man City,MID,0.0
Matheus Santos Carneiro Da Cunha,Wolves,FWD,0.5
Mathias Jensen,Brentford,MID,0.0
Mathias Jorgensen,Brentford,DEF,0.0
Mats Wieffer,Brighton,MID,0.0
Matt Doherty,Wolves,DEF,0.0
Matt O'Riley,Brighton,MID,0.0
Matt Targett,Newcastle,DEF,0.0
Matt Turner,Crystal Palace,GK,0.0
Matt Turner,Nott'm Forest,GK,0.0
Matthijs de Ligt,Man Utd,DEF,0.0
Matty Cash,Aston Villa,DEF,0.0
Matz Sels,Nott'm Forest,GK,0.0
Max Aarons,Bournemouth,DEF,0.0
Max Alleyne,Man City,DEF,0.0
Max Kilman,West Ham,DEF,0.06
Max Kinsey,Bournemouth,DEF,0.0
Maxence Lacroix,Crystal Palace,DEF,0.0
Maxwel Cornet,Southampton,MID,0.0
Maxwel Cornet,West Ham,MID,0.0
Michael Golding,Leicester,MID,0.0
Michael Keane,Everton,DEF,0.0
Michail Antonio,West Ham,FWD,0.0
Micky van de Ven,Spurs,DEF,0.0
Miguel Almirón Rejala,Newcastle,MID,0.0
Mikel Merino,Arsenal,MID,0.0
Mikey Moore,Spurs,MID,0.0
Mikkel Damsgaard,Brentford,MID,0.46
Milos Kerkez,Bournemouth,DEF,0.24
Min-Hyeok Yang,Spurs,MID,0.0
Miodrag Pivaš,Newcastle,DEF,0.0
Mitoma Kaoru,Brighton,MID,0.22
Mohamed Salah,Liverpool,MID,0.57
Mohammed Kudus,West Ham,MID,0.18
Moisés Caicedo Corozo,Chelsea,MID,0.03
Morgan Gibbs-White,Nott'm Forest,MID,0.46
Morgan Rogers,Aston Villa,MID,0.3
Moussa Diaby,Aston Villa,MID,0.0
Murillo Santiago Costa dos Santos,Nott'm Forest,DEF,0.02
Mykhailo Mudryk,Chelsea,MID,0.05
Myles Lewis-Skelly,Arsenal,MID,0.0
Myles Peart-Harris,Brentford,MID,0.0
Naouirou Ahamada,Crystal Palace,MID,0.0
Nathan Aké,Man City,DEF,0.0
Nathan Broadhead,Ipswich,MID,0.0
Nathan Butler-Oyedeji,Arsenal,FWD,0.0
Nathan Collins,Brentford,DEF,0.11
Nathan Fraser,Wolves,FWD,0.0
Nathan Patterson,Everton,DEF,0.0
Nathan Wood-Gordon,Southampton,DEF,0.0
Nathaniel Clyne,Crystal Palace,DEF,0.0
Nathaniel Phillips,Liverpool,DEF,0.0
Nayef Aguerd,West Ham,DEF,0.0
Neal Maupay,Everton,FWD,0.0
Neco Williams,Nott'm Forest,DEF,0.0
Nick Pope,Newcastle,GK,0.0
Niclas Füllkrug,West Ham,FWD,0.0
Nico O'Reilly,Man City,MID,0.0
Nicolas Jackson,Chelsea,FWD,0.24
Nicolás Domínguez,Nott'm Forest,MID,0.0
Nikola Milenković,Nott'm Forest,DEF,0.04
Noni Madueke,Chelsea,MID,0.1
Norberto Bercique Gomes Betuncal,Everton,FWD,0.0
Norberto Murara Neto,Arsenal,GK,0.0
Norberto Murara Neto,Bournemouth,GK,0.0
Noussair Mazraoui,Man Utd,DEF,0.1
Nélson Cabral Semedo,Wolves,DEF,0.0
Odeluga Offiah,Brighton,DEF,0.0
Odsonne Edouard,Crystal Palace,FWD,0.0
Odsonne Edouard,Leicester,FWD,0.0
Odysseas Vlachodimos,Newcastle,GK,0.0
Ola Aina,Nott'm Forest,DEF,0.3
Oleksandr Zinchenko,Arsenal,DEF,0.02
Oliver Skipp,Leicester,MID,0.0
Oliver Skipp,Spurs,MID,0.0
Oliwier Zych,Aston Villa,GK,0.0
Ollie Scarles,West Ham,DEF,0.0
Ollie Watkins,Aston Villa,FWD,0.37
Omar Richards,Nott'm Forest,DEF,0.0
Omari Giraud-Hutchinson,Ipswich,MID,0.19
Omari Kellyman,Chelsea,MID,0.0
Orel Mangala,Everton,MID,0.0
Oscar Bobb,Man City,MID,0.0
Pablo Sarabia,Wolves,MID,0.0
Pape Matar Sarr,Spurs,MID,0.0
Paris Maghoma,Brentford,MID,0.0
Pascal Groß,Brighton,MID,0.0
Patson Daka,Leicester,FWD,0.04
Pau Torres,Aston Villa,DEF,0.0
Paul Onuachu,Southampton,FWD,0.0
Pedro Cardoso de Lima,Wolves,DEF,0.0
Pedro Lomba Neto,Chelsea,MID,0.28
Pedro Porro,Spurs,DEF,0.42
Pervis Estupiñán,Brighton,DEF,0.05
Phil Foden,Man City,MID,0.55
Philip Billing,Bournemouth,MID,0.0
Pierre-Emile Højbjerg,Spurs,MID,0.0
Radu Drăgușin,Spurs,DEF,0.0
Raheem Sterling,Arsenal,MID,0.04
Raheem Sterling,Chelsea,MID,0.0
Ramón Sosa,Nott'm Forest,MID,0.0
Rasmus Højlund,Man Utd,FWD,0.0
Rayan Aït-Nouri,Wolves,DEF,0.08
Raúl Jiménez,Fulham,FWD,0.08
Reece James,Chelsea,DEF,0.0
Reiss Nelson,Arsenal,MID,0.0
Reiss Nelson,Fulham,MID,0.01
Remi Matthews,Crystal Palace,GK,0.0
Remy Rees-Dottin,Bournemouth,FWD,0.0
Renato Palma Veiga,Chelsea,MID,0.0
Rhys Williams,Liverpool,DEF,0.0
