name,team,position,GW,predicted_cards
Omari Giraud-Hutchinson,Ipswich,MID,22,0.32
Mateus Gonçalo Espanha Fernandes,Southampton,MID,22,0.315
Andreas Hoelgebaum Pereira,Fulham,MID,22,0.31
Jefferson Lerma Solís,Crystal Palace,MID,22,0.305
Elliot Anderson,Nott'm Forest,MID,22,0.305
Liam Delap,Ipswich,FWD,22,0.305
Marc Cucurella Saseta,Chelsea,DEF,22,0.305
James Maddison,Spurs,MID,22,0.3
Joelinton Cássio Apolinário de Lira,Newcastle,MID,22,0.3
Joachim Andersen,Fulham,DEF,22,0.29
Edson Álvarez Velázquez,West Ham,MID,22,0.29
Sandro Tonali,Newcastle,MID,22,0.28
Lucas Tolentino Coelho de Lima,West Ham,MID,22,0.28
Christian Nørgaard,Brentford,MID,22,0.27
Rayan Aït-Nouri,Wolves,DEF,22,0.27
Kobbie Mainoo,Man Utd,MID,22,0.26
Declan Rice,Arsenal,MID,22,0.255
Guido Rodríguez,West Ham,MID,22,0.245
Igor Julio dos Santos de Paulo,Brighton,DEF,22,0.24
Diogo Dalot Teixeira,Man Utd,DEF,22,0.235
Nicolas Jackson,Chelsea,FWD,22,0.235
Marcos Senesi,Bournemouth,DEF,22,0.23
Jurriën Timber,Arsenal,DEF,22,0.225
Nicolás Domínguez,Nott'm Forest,MID,22,0.225
Fabian Schär,Newcastle,DEF,22,0.22
Antoine Semenyo,Bournemouth,MID,22,0.22
Adam Armstrong,Southampton,FWD,22,0.215
Murillo Santiago Costa dos Santos,Nott'm Forest,DEF,22,0.21
Dominik Szoboszlai,Liverpool,MID,22,0.21
James Tarkowski,Everton,DEF,22,0.2
Pedro Lomba Neto,Chelsea,MID,22,0.195
Ashley Young,Everton,DEF,22,0.19
Michael Keane,Everton,DEF,22,0.19
Wesley Fofana,Chelsea,DEF,22,0.19
Morgan Rogers,Aston Villa,MID,22,0.185
Taylor Harwood-Bellis,Southampton,DEF,22,0.175
Antonee Robinson,Fulham,DEF,22,0.17
Matty Cash,Aston Villa,DEF,22,0.165
Trent Alexander-Arnold,Liverpool,DEF,22,0.16
Carlos Soler,West Ham,MID,22,0.15
Adam Smith,Bournemouth,DEF,22,0.15
Oliver Skipp,Leicester,MID,22,0.14
Leif Davis,Ipswich,DEF,22,0.135
Alexis Mac Allister,Liverpool,MID,22,0.13
Ryan Christie,Bournemouth,MID,22,0.115
Gabriel Fernando de Jesus,Arsenal,FWD,22,0.11
Harry Maguire,Man Utd,DEF,22,0.095
Darwin Núñez Ribeiro,Liverpool,FWD,22,0.095
Maxence Lacroix,Crystal Palace,DEF,22,0.085
Rodrigo Bentancur,Spurs,MID,22,0.08
Boubakary Soumaré,Leicester,MID,22,0.075
Micky van de Ven,Spurs,DEF,22,0.065
Adam Lallana,Southampton,MID,22,0.065
Tom Cairney,Fulham,MID,22,0.04
Daichi Kamada,Crystal Palace,MID,22,0.035
Nathan Broadhead,Ipswich,MID,22,0.0
Neal Maupay,Everton,FWD,22,0.0
Mikkel Damsgaard,Brentford,MID,22,0.0
Nathaniel Clyne,Crystal Palace,DEF,22,0.0
Nathaniel Phillips,Liverpool,DEF,22,0.0
Nayef Aguerd,West Ham,DEF,22,0.0
Milos Kerkez,Bournemouth,DEF,22,0.0
Min-Hyeok Yang,Spurs,MID,22,0.0
Mohammed Kudus,West Ham,MID,22,0.0
Matthijs de Ligt,Man Utd,DEF,22,0.0
Mohamed Salah,Liverpool,MID,22,0.0
Nathan Patterson,Everton,DEF,22,0.0
Nick Pope,Newcastle,GK,22,0.0
Matt Turner,Nott'm Forest,GK,22,0.0
Matt Turner,Crystal Palace,GK,22,0.0
Niclas Füllkrug,West Ham,FWD,22,0.0
Mitoma Kaoru,Brighton,MID,22,0.0
Miodrag Pivaš,Newcastle,DEF,22,0.0
Matt Targett,Newcastle,DEF,22,0.0
Nathan Wood-Gordon,Southampton,DEF,22,0.0
Mikey Moore,Spurs,MID,22,0.0
Nathan Aké,Man City,DEF,22,0.0
Moussa Diaby,Aston Villa,MID,22,0.0
Michael Golding,Leicester,MID,22,0.0
Naouirou Ahamada,Crystal Palace,MID,22,0.0
Maxwel Cornet,West Ham,MID,22,0.0
Matt O'Riley,Brighton,MID,22,0.0
Myles Peart-Harris,Brentford,MID,22,0.0
Nathan Butler-Oyedeji,Arsenal,FWD,22,0.0
Myles Lewis-Skelly,Arsenal,MID,22,0.0
Mykhailo Mudryk,Chelsea,MID,22,0.0
Michail Antonio,West Ham,FWD,22,0.0
Matz Sels,Nott'm Forest,GK,22,0.0
Nathan Collins,Brentford,DEF,22,0.0
Miguel Almirón Rejala,Newcastle,MID,22,0.0
Max Kinsey,Bournemouth,DEF,22,0.0
Nathan Fraser,Wolves,FWD,22,0.0
Max Kilman,West Ham,DEF,22,0.0
Max Alleyne,Man City,DEF,22,0.0
Max Aarons,Bournemouth,DEF,22,0.0
Mikel Merino,Arsenal,MID,22,0.0
Maxwel Cornet,Southampton,MID,22,0.0
Aaron Cresswell,West Ham,DEF,22,0.0
Matt Doherty,Wolves,DEF,22,0.0
Lewis O'Brien,Nott'm Forest,MID,22,0.0
Leny Yoro,Man Utd,DEF,22,0.0
Leon Bailey,Aston Villa,MID,22,0.0
Leon Chiwome,Wolves,FWD,22,0.0
Lesley Ugochukwu,Chelsea,MID,22,0.0
Lesley Ugochukwu,Southampton,MID,22,0.0
Lewis Dobbin,Aston Villa,MID,22,0.0
Lewis Miley,Newcastle,MID,22,0.0
Lewis Orford,West Ham,MID,22,0.0
Leander Dendoncker,Aston Villa,MID,22,0.0
Lino da Cruz Sousa,Aston Villa,DEF,22,0.0
Lloyd Kelly,Newcastle,DEF,22,0.0
Luca Williams-Barnett,Spurs,MID,22,0.0
Lucas Bergström,Chelsea,GK,22,0.0
Lucas Bergvall,Spurs,MID,22,0.0
Lucas Digne,Aston Villa,DEF,22,0.0
Luis Díaz,Liverpool,MID,22,0.0
Leandro Trossard,Arsenal,MID,22,0.0
Lamare Bogarde,Aston Villa,DEF,22,0.0
Mats Wieffer,Brighton,MID,22,0.0
Kiernan Dewsbury-Hall,Chelsea,MID,22,0.0
Kepa Arrizabalaga,Chelsea,GK,22,0.0
Kevin De Bruyne,Man City,MID,22,0.0
Kevin Mbabu,Fulham,DEF,22,0.0
Kevin Schade,Brentford,MID,22,0.0
Ki-Jana Hoever,Wolves,DEF,22,0.0
Kieran Tierney,Arsenal,DEF,22,0.0
Kieran Trippier,Newcastle,DEF,22,0.0
Killian Cahill,Brighton,GK,22,0.0
Kyle Walker,Man City,DEF,22,0.0
Kim Ji-soo,Brentford,DEF,22,0.0
Konstantinos Mavropanos,West Ham,DEF,22,0.0
Konstantinos Tsimikas,Liverpool,DEF,22,0.0
Kortney Hause,Aston Villa,DEF,22,0.0
Kosta Nedeljković,Aston Villa,DEF,22,0.0
Kristoffer Ajer,Brentford,DEF,22,0.0
Kurt Zouma,West Ham,DEF,22,0.0
Luis Guilherme Lira dos Santos,West Ham,MID,22,0.0
Luis Sinisterra,Bournemouth,MID,22,0.0
Luke Cundle,Wolves,MID,22,0.0
Mason Mount,Man Utd,MID,22,0.0
Mark O’Mahony,Brighton,FWD,22,0.0
Mark Travers,Bournemouth,GK,22,0.0
Martial Godo,Fulham,MID,22,0.0
Martin Dúbravka,Newcastle,GK,22,0.0
Martin Sherif,Everton,FWD,22,0.0
Martin Ødegaard,Arsenal,MID,22,0.0
Mason Holgate,Everton,DEF,22,0.0
Massimo Luongo,Ipswich,MID,22,0.0
Luke Harris,Fulham,MID,22,0.0
Matai Akinmboni,Bournemouth,DEF,22,0.0
Mateusz Lis,Southampton,GK,22,0.0
Matheus França de Oliveira,Crystal Palace,MID,22,0.0
Matheus Luiz Nunes,Man City,MID,22,0.0
Matheus Santos Carneiro Da Cunha,Wolves,FWD,22,0.0
Mathias Jensen,Brentford,MID,22,0.0
Mathias Jorgensen,Brentford,DEF,22,0.0
Mark Flekken,Brentford,GK,22,0.0
Marcus Rashford,Man Utd,MID,22,0.0
Marcus Myers-Harness,Ipswich,MID,22,0.0
Marcus Bettinelli,Chelsea,GK,22,0.0
Luke Shaw,Man Utd,DEF,22,0.0
Luke Thomas,Leicester,DEF,22,0.0
Luke Woolfenden,Ipswich,DEF,22,0.0
Mads Hermansen,Leicester,GK,22,0.0
Mads Roerslev Rasmussen,Brentford,DEF,22,0.0
Maeson King,Spurs,DEF,22,0.0
Mahmoud Dahoud,Brighton,MID,22,0.0
Malachi Hardy,Spurs,DEF,22,0.0
Malang Sarr,Chelsea,DEF,22,0.0
Malcolm Ebiowei,Crystal Palace,MID,22,0.0
Maldini Kacurri,Arsenal,DEF,22,0.0
Malo Gusto,Chelsea,DEF,22,0.0
Manor Solomon,Spurs,MID,22,0.0
Manuel Akanji,Man City,DEF,22,0.0
Marc Guiu Paz,Chelsea,FWD,22,0.0
Marcus Tavernier,Bournemouth,MID,22,0.0
Oscar Bobb,Man City,MID,22,0.0
Nico O'Reilly,Man City,MID,22,0.0
Tom King,Wolves,GK,22,0.0
Tim Ream,Fulham,DEF,22,0.0
Timo Werner,Spurs,MID,22,0.0
Timothy Castagne,Fulham,DEF,22,0.0
Tino Livramento,Newcastle,DEF,22,0.0
Toby Collyer,Man Utd,MID,22,0.0
Tom Cannon,Leicester,FWD,22,0.0
Tom Edozie,Wolves,MID,22,0.0
Tom Heaton,Man Utd,GK,22,0.0
Tomiyasu Takehiro,Arsenal,DEF,22,0.0
Tyrell Malacia,Man Utd,DEF,22,0.0
Tommy Doyle,Wolves,MID,22,0.0
Tommy Setford,Arsenal,GK,22,0.0
Tony Yogane,Brentford,MID,22,0.0
Tosin Adarabioyo,Chelsea,DEF,22,0.0
Trevoh Chalobah,Chelsea,DEF,22,0.0
Trevoh Chalobah,Crystal Palace,DEF,22,0.0
Treymaurice Nyoni,Liverpool,MID,22,0.0
Tyler Adams,Bournemouth,MID,22,0.0
Tim Iroegbunam,Everton,MID,22,0.0
Thomas Wilson-Brown,Leicester,DEF,22,0.0
Thomas Partey,Arsenal,MID,22,0.0
Tawanda Chirewa,Wolves,MID,22,0.0
Shea Charles,Southampton,MID,22,0.0
Sil Swinkels,Aston Villa,DEF,22,0.0
Simon Adingra,Brighton,MID,22,0.0
Solly March,Brighton,MID,22,0.0
Son Heung-min,Spurs,MID,22,0.0
Spike Brits,Man City,GK,22,0.0
Stefan Bajčetić Maquieira,Liverpool,MID,22,0.0
Stefan Ortega Moreno,Man City,GK,22,0.0
Stephy Mavididi,Leicester,MID,22,0.0
Steven Benda,Fulham,GK,22,0.0
Sugawara Yukinari,Southampton,DEF,22,0.0
Sven Botman,Newcastle,DEF,22,0.0
Sávio 'Savinho' Moreira de Oliveira,Man City,MID,22,0.0
Séamus Coleman,Everton,DEF,22,0.0
Sékou Mara,Southampton,FWD,22,0.0
Taiwo Awoniyi,Nott'm Forest,FWD,22,0.0
Tariq Lamptey,Brighton,DEF,22,0.0
Tyler Morton,Liverpool,MID,22,0.0
Tyrick Mitchell,Crystal Palace,DEF,22,0.0
Sepp van den Berg,Liverpool,DEF,22,0.0
Yoane Wissa,Brentford,FWD,22,0.0
William Saliba,Arsenal,DEF,22,0.0
Willy Boly,Nott'm Forest,DEF,22,0.0
Wilson Odobert,Spurs,MID,22,0.0
Wout Faes,Leicester,DEF,22,0.0
Yankuba Minteh,Brighton,MID,22,0.0
Yasin Ayari,Brighton,MID,22,0.0
Yehor Yarmoliuk,Brentford,MID,22,0.0
Yerson Mosquera,Wolves,DEF,22,0.0
Youri Tielemans,Aston Villa,MID,22,0.0
Tyrique George,Chelsea,MID,22,0.0
Youssef Ramalho Chermiti,Everton,FWD,22,0.0
Yunus Emre Konak,Brentford,MID,22,0.0
Zach Abbott,Nott'm Forest,DEF,22,0.0
Zach Marsh,Crystal Palace,FWD,22,0.0
Álex Moreno Lopera,Aston Villa,DEF,22,0.0
Álex Moreno Lopera,Nott'm Forest,DEF,22,0.0
Ângelo Gabriel Borges Damaceno,Chelsea,MID,22,0.0
Đorđe Petrović,Chelsea,GK,22,0.0
William Osula,Newcastle,FWD,22,0.0
Will Smallbone,Southampton,MID,22,0.0
Will Lankshear,Spurs,FWD,22,0.0
Will Dennis,Bournemouth,GK,22,0.0
Tyrone Mings,Aston Villa,DEF,22,0.0
Valentín Barco,Brighton,DEF,22,0.0
Victor Kristiansen,Leicester,DEF,22,0.0
Victor Lindelöf,Man Utd,DEF,22,0.0
Viljami Sinisalo,Aston Villa,GK,22,0.0
Virgil van Dijk,Liverpool,DEF,22,0.0
Vitalii Mykolenko,Everton,DEF,22,0.0
Vitaly Janelt,Brentford,MID,22,0.0
Vladimír Coufal,West Ham,DEF,22,0.0
Vítezslav Jaros,Liverpool,GK,22,0.0
Wanya Marçal-Madivádua,Leicester,MID,22,0.0
Wayne Hennessey,Nott'm Forest,GK,22,0.0
Welington Damascena Santos,Southampton,DEF,22,0.0
Wes Burns,Ipswich,MID,22,0.0
Wes Foderingham,West Ham,GK,22,0.0
Wes Okoduwa,Wolves,DEF,22,0.0
Will Alves,Leicester,MID,22,0.0
Sergio Reguilón,Spurs,DEF,22,0.0
Sepp van den Berg,Brentford,DEF,22,0.0
Nikola Milenković,Nott'm Forest,DEF,22,0.0
Phil Foden,Man City,MID,22,0.0
Paris Maghoma,Brentford,MID,22,0.0
Pascal Groß,Brighton,MID,22,0.0
Patson Daka,Leicester,FWD,22,0.0
Pau Torres,Aston Villa,DEF,22,0.0
Paul Onuachu,Southampton,FWD,22,0.0
Pedro Cardoso de Lima,Wolves,DEF,22,0.0
Pedro Porro,Spurs,DEF,22,0.0
Pervis Estupiñán,Brighton,DEF,22,0.0
Philip Billing,Bournemouth,MID,22,0.0
Reiss Nelson,Fulham,MID,22,0.0
Pierre-Emile Højbjerg,Spurs,MID,22,0.0
Radu Drăgușin,Spurs,DEF,22,0.0
Raheem Sterling,Arsenal,MID,22,0.0
Raheem Sterling,Chelsea,MID,22,0.0
Ramón Sosa,Nott'm Forest,MID,22,0.0
Rasmus Højlund,Man Utd,FWD,22,0.0
Raúl Jiménez,Fulham,FWD,22,0.0
Reece James,Chelsea,DEF,22,0.0
Pape Matar Sarr,Spurs,MID,22,0.0
Pablo Sarabia,Wolves,MID,22,0.0
Kenny Tete,Fulham,DEF,22,0.0
Orel Mangala,Everton,MID,22,0.0
Noni Madueke,Chelsea,MID,22,0.0
Norberto Bercique Gomes Betuncal,Everton,FWD,22,0.0
Norberto Murara Neto,Arsenal,GK,22,0.0
Norberto Murara Neto,Bournemouth,GK,22,0.0
Noussair Mazraoui,Man Utd,DEF,22,0.0
Odeluga Offiah,Brighton,DEF,22,0.0
Odsonne Edouard,Crystal Palace,FWD,22,0.0
Odsonne Edouard,Leicester,FWD,22,0.0
Odysseas Vlachodimos,Newcastle,GK,22,0.0
Ola Aina,Nott'm Forest,DEF,22,0.0
Oleksandr Zinchenko,Arsenal,DEF,22,0.0
Oliver Skipp,Spurs,MID,22,0.0
Oliwier Zych,Aston Villa,GK,22,0.0
Ollie Scarles,West Ham,DEF,22,0.0
Ollie Watkins,Aston Villa,FWD,22,0.0
Omar Richards,Nott'm Forest,DEF,22,0.0
Omari Kellyman,Chelsea,MID,22,0.0
Reiss Nelson,Arsenal,MID,22,0.0
Remi Matthews,Crystal Palace,GK,22,0.0
Sean Longstaff,Newcastle,MID,22,0.0
Samuel Amissah,Fulham,DEF,22,0.0
Ryan Manning,Southampton,DEF,22,0.0
Ryan Sessegnon,Fulham,DEF,22,0.0
Ryan Trevitt,Brentford,MID,22,0.0
Rúben Gato Alves Dias,Man City,DEF,22,0.0
Salah-Eddine Oulad M'hand,Arsenal,MID,22,0.0
Sam Johnstone,Crystal Palace,GK,22,0.0
Sam Johnstone,Wolves,GK,22,0.0
Sam Szmodics,Ipswich,MID,22,0.0
Samuel Amo-Ameyaw,Southampton,MID,22,0.0
Remy Rees-Dottin,Bournemouth,FWD,22,0.0
Samuel Edozie,Southampton,MID,22,0.0
Samuel Iling-Junior,Aston Villa,MID,22,0.0
Samuel Rak-Sakyi,Chelsea,MID,22,0.0
Sander Berge,Fulham,MID,22,0.0
Santiago Bueno,Wolves,DEF,22,0.0
Saša Kalajdžić,Wolves,FWD,22,0.0
Scott Carson,Man City,GK,22,0.0
Scott McTominay,Man Utd,MID,22,0.0
Ryan Fraser,Southampton,MID,22,0.0
Ryan Fraser,Newcastle,MID,22,0.0
Ruairi McConville,Brighton,DEF,22,0.0
Ross Stewart,Southampton,FWD,22,0.0
Renato Palma Veiga,Chelsea,MID,22,0.0
Rhys Williams,Liverpool,DEF,22,0.0
Ricardo Barbosa Pereira,Leicester,DEF,22,0.0
Riccardo Calafiori,Arsenal,DEF,22,0.0
Richarlison de Andrade,Spurs,FWD,22,0.0
Rico Henry,Brentford,DEF,22,0.0
Rob Holding,Crystal Palace,DEF,22,0.0
Robin Olsen,Aston Villa,GK,22,0.0
Rodrigo 'Rodri' Hernandez,Man City,MID,22,0.0
Rodrigo Martins Gomes,Wolves,MID,22,0.0
Rodrigo Muniz Carvalho,Fulham,FWD,22,0.0
Romain Faivre,Bournemouth,MID,22,0.0
Roman Dixon,Everton,DEF,22,0.0
Romelu Lukaku Bolingoli,Chelsea,FWD,22,0.0
Roméo Lavia,Chelsea,MID,22,0.0
Ronnie Edwards,Southampton,DEF,22,0.0
Ross Barkley,Aston Villa,MID,22,0.0
Kepa Arrizabalaga,Bournemouth,GK,22,0.0
João Félix Sequeira,Chelsea,MID,22,0.0
Keane Lewis-Potter,Brentford,MID,22,0.0
Conor Bradley,Liverpool,DEF,22,0.0
Chris Mepham,Bournemouth,DEF,22,0.0
Chris Richards,Crystal Palace,DEF,22,0.0
Chris Wood,Nott'm Forest,FWD,22,0.0
Christian Eriksen,Man Utd,MID,22,0.0
Christian Walton,Ipswich,GK,22,0.0
Christopher Nkunku,Chelsea,MID,22,0.0
Cieran Slicker,Ipswich,GK,22,0.0
Cole Palmer,Chelsea,MID,22,0.0
Conor Chaplin,Ipswich,MID,22,0.0
Cheick Doucouré,Crystal Palace,MID,22,0.0
Conor Coady,Leicester,DEF,22,0.0
Conor Gallagher,Chelsea,MID,22,0.0
Conor Townsend,Ipswich,DEF,22,0.0
Corrie Ndaba,Ipswich,DEF,22,0.0
Craig Dawson,Wolves,DEF,22,0.0
Cristian Romero,Spurs,DEF,22,0.0
Crysencio Summerville,West Ham,MID,22,0.0
Curtis Jones,Liverpool,MID,22,0.0
Chiedozie Ogbene,Ipswich,MID,22,0.0
Charlie Taylor,Southampton,DEF,22,0.0
Kasey McAteer,Leicester,MID,22,0.0
Cameron Peupion,Brighton,MID,22,0.0
Caleb Wiley,Chelsea,DEF,22,0.0
Callum Bates,Everton,MID,22,0.0
Callum Hudson-Odoi,Nott'm Forest,MID,22,0.0
Callum Olusesi,Spurs,MID,22,0.0
Callum Wilson,Newcastle,FWD,22,0.0
Cameron Archer,Southampton,FWD,22,0.0
Cameron Burgess,Ipswich,DEF,22,0.0
Cameron Humphreys,Ipswich,MID,22,0.0
Caoimhin Kelleher,Liverpool,GK,22,0.0
Chadi Riad Dnanou,Crystal Palace,DEF,22,0.0
Carl Rushworth,Brighton,GK,22,0.0
Carlos Alcaraz Durán,Southampton,MID,22,0.0
Carlos Henrique Casimiro,Man Utd,MID,22,0.0
Carlos Miguel dos Santos Pereira,Nott'm Forest,GK,22,0.0
Carlos Roberto Forbs Borges,Wolves,MID,22,0.0
Carlos Vinícius Alves Morais,Fulham,FWD,22,0.0
Carney Chukwuemeka,Chelsea,MID,22,0.0
Cesare Casadei,Chelsea,MID,22,0.0
Dane Scarlett,Spurs,FWD,22,0.0
Dango Ouattara,Bournemouth,MID,22,0.0
Daniel Adu-Adjei,Bournemouth,FWD,22,0.0
Ederson Santana de Moraes,Man City,GK,22,0.0
Djed Spence,Spurs,DEF,22,0.0
Dominic Calvert-Lewin,Everton,FWD,22,0.0
Dominic Sadi,Bournemouth,MID,22,0.0
Dominic Solanke-Mitchell,Spurs,FWD,22,0.0
Dwight McNeil,Everton,MID,22,0.0
Eberechi Eze,Crystal Palace,MID,22,0.0
Eddie Nketiah,Arsenal,FWD,22,0.0
Eddie Nketiah,Crystal Palace,FWD,22,0.0
Elkan Baggott,Ipswich,DEF,22,0.0
Daniel Bentley,Wolves,GK,22,0.0
Emerson Leite de Souza Junior,Spurs,DEF,22,0.0
Emil Krafth,Newcastle,DEF,22,0.0
Emile Smith Rowe,Fulham,MID,22,0.0
Emiliano Buendía Stati,Aston Villa,MID,22,0.0
Emiliano Martínez Romero,Aston Villa,GK,22,0.0
Emmanuel Dennis,Nott'm Forest,FWD,22,0.0
Endo Wataru,Liverpool,MID,22,0.0
Enes Ünal,Bournemouth,FWD,22,0.0
Divin Mubama,Man City,FWD,22,0.0
Diogo Teixeira da Silva,Liverpool,MID,22,0.0
Diego Gómez,Brighton,MID,22,0.0
Diego Carlos Santos Silva,Aston Villa,DEF,22,0.0
Daniel Castelo Podence,Wolves,MID,22,0.0
Daniel Iversen,Leicester,GK,22,0.0
Daniel Jebbison,Bournemouth,FWD,22,0.0
Danilo dos Santos de Oliveira,Nott'm Forest,MID,22,0.0
Danny Ings,West Ham,FWD,22,0.0
Danny Ward,Leicester,GK,22,0.0
Danny Welbeck,Brighton,FWD,22,0.0
David Brooks,Bournemouth,MID,22,0.0
David Datro Fofana,Chelsea,FWD,22,0.0
David Ozoh,Crystal Palace,MID,22,0.0
David Raya Martin,Arsenal,GK,22,0.0
Dean Henderson,Crystal Palace,GK,22,0.0
Dean Huijsen,Bournemouth,DEF,22,0.0
Deivid Washington de Souza Eugênio,Chelsea,FWD,22,0.0
Dejan Kulusevski,Spurs,MID,22,0.0
Deniz Undav,Brighton,FWD,22,0.0
Destiny Udogie,Spurs,DEF,22,0.0
Caleb Okoli,Leicester,DEF,22,0.0
Caleb Kporha,Crystal Palace,DEF,22,0.0
Bryan Mbeumo,Brentford,MID,22,0.0
Amara Nallo,Liverpool,DEF,22,0.0
Alfie Pond,Wolves,DEF,22,0.0
Alfie Whiteman,Spurs,GK,22,0.0
Ali Al-Hamadi,Ipswich,FWD,22,0.0
Alisson Ramses Becker,Liverpool,GK,22,0.0
Alphonse Areola,West Ham,GK,22,0.0
Altay Bayindir,Man Utd,GK,22,0.0
Amad Diallo,Man Utd,MID,22,0.0
Amadou Onana,Aston Villa,MID,22,0.0
Amario Cozier-Duberry,Brighton,MID,22,0.0
Antony Matheus dos Santos,Man Utd,MID,22,0.0
Andrew Moran,Brighton,MID,22,0.0
Andrew Omobamidele,Nott'm Forest,DEF,22,0.0
Andrew Robertson,Liverpool,DEF,22,0.0
Andrey Nascimento dos Santos,Chelsea,MID,22,0.0
André Onana,Man Utd,GK,22,0.0
André Trindade da Costa Neto,Wolves,MID,22,0.0
Andy Irving,West Ham,MID,22,0.0
Anthony Elanga,Nott'm Forest,MID,22,0.0
Alfie Gilchrist,Chelsea,DEF,22,0.0
Alfie Dorrington,Spurs,DEF,22,0.0
Alfie Devine,Spurs,MID,22,0.0
Alexander Isak,Newcastle,FWD,22,0.0
Aaron Ramsdale,Arsenal,GK,22,0.0
Aaron Ramsdale,Southampton,GK,22,0.0
Aaron Wan-Bissaka,West Ham,DEF,22,0.0
Abdoulaye Doucouré,Everton,MID,22,0.0
Abdul Fatawu,Leicester,MID,22,0.0
Adam Webster,Brighton,DEF,22,0.0
Adam Wharton,Crystal Palace,MID,22,0.0
Adama Traoré,Fulham,MID,22,0.0
Adrian Mazilu,Brighton,MID,22,0.0
Alejandro Garnacho,Man Utd,MID,22,0.0
Alejo Véliz,Spurs,FWD,22,0.0
Alex Iwobi,Fulham,MID,22,0.0
Alex McCarthy,Southampton,GK,22,0.0
Alex Mighten,Nott'm Forest,MID,22,0.0
Alex Murphy,Newcastle,DEF,22,0.0
Alex Paulsen,Bournemouth,GK,22,0.0
Alex Scott,Bournemouth,MID,22,0.0
Anthony Gordon,Newcastle,MID,22,0.0
Antonín Kinsky,Spurs,GK,22,0.0
Bryan Gil Salvatierra,Spurs,MID,22,0.0
Billy Gilmour,Brighton,MID,22,0.0
Ben Nelson,Leicester,DEF,22,0.0
Ben Winterburn,Bournemouth,MID,22,0.0
Benicio Baker-Boaitey,Brighton,MID,22,0.0
Benjamin Arthur,Brentford,DEF,22,0.0
Benjamin White,Arsenal,DEF,22,0.0
Benoît Badiashile,Chelsea,DEF,22,0.0
Bernd Leno,Fulham,GK,22,0.0
Bilal El Khannouss,Leicester,MID,22,0.0
Bobby Clark,Liverpool,MID,22,0.0
Archie Gray,Spurs,MID,22,0.0
Bobby De Cordova-Reid,Leicester,MID,22,0.0
Boubacar Kamara,Aston Villa,MID,22,0.0
Boubacar Traoré,Wolves,MID,22,0.0
Brajan Gruda,Brighton,MID,22,0.0
Brandon Austin,Spurs,GK,22,0.0
Brennan Johnson,Spurs,MID,22,0.0
Bruno Borges Fernandes,Man Utd,MID,22,0.0
Bruno Guimarães Rodriguez Moura,Newcastle,MID,22,0.0
Ben Mee,Brentford,DEF,22,0.0
Ben Johnson,Ipswich,DEF,22,0.0
Ben Godfrey,Ipswich,DEF,22,0.0
